성별,연령대,가구원수,소득구간,가계지출금액,가계지출_소비지출금액,가구일련번호
남자,20대,1인가구,고소득(월 700만원 이상),4753418,3078034,927
남자,20대,1인가구,고소득(월 700만원 이상),5700157,1867830,9019
남자,20대,1인가구,중간소득(월 300~700만원 미만),1984497,1283014,12134
남자,20대,1인가구,중간소득(월 300~700만원 미만),4296395,3622765,13382
남자,20대,1인가구,중간소득(월 300~700만원 미만),1862754,1070130,7192
남자,20대,1인가구,중간소득(월 300~700만원 미만),3022308,1659756,5727
남자,20대,1인가구,중간소득(월 300~700만원 미만),3381788,2292248,9191
남자,20대,1인가구,중간소득(월 300~700만원 미만),3464325,1965974,9383
남자,20대,1인가구,고소득(월 700만원 이상),7606046,6219775,6122
남자,20대,1인가구,저소득(월 300만원 미만),2100152,2072289,13291
남자,20대,1인가구,중간소득(월 300~700만원 미만),1234663,761318,6923
남자,20대,1인가구,중간소득(월 300~700만원 미만),2294920,1802238,4534
남자,20대,1인가구,중간소득(월 300~700만원 미만),2392932,2000088,1159
남자,20대,1인가구,중간소득(월 300~700만원 미만),2683591,1677780,6733
남자,20대,1인가구,중간소득(월 300~700만원 미만),2570215,1511461,73
남자,20대,1인가구,저소득(월 300만원 미만),2291591,2273925,1141
남자,20대,1인가구,중간소득(월 300~700만원 미만),2200970,1683123,9106
남자,20대,1인가구,중간소득(월 300~700만원 미만),2432814,1956064,6789
남자,20대,1인가구,중간소득(월 300~700만원 미만),1836031,1348011,3163
남자,20대,1인가구,중간소득(월 300~700만원 미만),2380805,1242539,7209
남자,30대,1인가구,저소득(월 300만원 미만),1170830,1070413,10993
남자,30대,1인가구,저소득(월 300만원 미만),1315515,1121515,333
남자,30대,1인가구,저소득(월 300만원 미만),1605377,1176898,41
남자,30대,1인가구,저소득(월 300만원 미만),2840471,2348591,2601
남자,30대,1인가구,중간소득(월 300~700만원 미만),1682767,1262447,4522
남자,30대,1인가구,중간소득(월 300~700만원 미만),1910431,1021809,6027
남자,30대,1인가구,중간소득(월 300~700만원 미만),1943080,1453491,8663
남자,30대,1인가구,중간소득(월 300~700만원 미만),2003035,1485405,9456
남자,30대,1인가구,중간소득(월 300~700만원 미만),2218652,1351957,11821
남자,30대,1인가구,중간소득(월 300~700만원 미만),2651683,1845153,932
남자,30대,1인가구,중간소득(월 300~700만원 미만),3784252,3257142,5076
남자,30대,1인가구,중간소득(월 300~700만원 미만),1680481,1065481,3138
남자,30대,1인가구,중간소득(월 300~700만원 미만),2295258,1790072,8245
남자,30대,1인가구,중간소득(월 300~700만원 미만),2441296,1793068,6064
남자,30대,1인가구,중간소득(월 300~700만원 미만),3056687,2364894,4737
남자,30대,1인가구,중간소득(월 300~700만원 미만),3508905,2593505,6037
남자,30대,1인가구,중간소득(월 300~700만원 미만),2915384,2012015,5336
남자,30대,1인가구,고소득(월 700만원 이상),5741436,2455958,11407
남자,30대,1인가구,저소득(월 300만원 미만),1549651,1184041,4724
남자,30대,1인가구,저소득(월 300만원 미만),1839052,1816712,3878
남자,30대,1인가구,중간소득(월 300~700만원 미만),2603389,2023539,9984
남자,30대,1인가구,중간소득(월 300~700만원 미만),3379713,2976983,4235
남자,30대,1인가구,중간소득(월 300~700만원 미만),2280704,1456514,4708
남자,30대,1인가구,중간소득(월 300~700만원 미만),3730326,2774906,5781
남자,30대,1인가구,저소득(월 300만원 미만),1810109,1810109,1095
남자,30대,1인가구,중간소득(월 300~700만원 미만),2673790,1710117,12434
남자,30대,1인가구,중간소득(월 300~700만원 미만),2331635,1584245,42
남자,30대,1인가구,중간소득(월 300~700만원 미만),3320060,2600154,506
남자,30대,1인가구,중간소득(월 300~700만원 미만),1338936,955786,3164
남자,30대,1인가구,중간소득(월 300~700만원 미만),2279237,1121117,1680
남자,30대,1인가구,중간소득(월 300~700만원 미만),2768904,2012654,6229
남자,30대,1인가구,중간소득(월 300~700만원 미만),2946016,2254416,1137
남자,30대,1인가구,중간소득(월 300~700만원 미만),3021519,2292121,6228
남자,30대,1인가구,중간소득(월 300~700만원 미만),5548922,3991882,1212
남자,30대,1인가구,중간소득(월 300~700만원 미만),3698606,1752138,939
남자,30대,1인가구,중간소득(월 300~700만원 미만),3910843,2391433,998
남자,30대,1인가구,중간소득(월 300~700만원 미만),4421603,2866456,12107
남자,30대,1인가구,고소득(월 700만원 이상),2749877,995037,8616
남자,30대,1인가구,고소득(월 700만원 이상),3841130,1928873,4961
남자,30대,1인가구,저소득(월 300만원 미만),1536770,1512014,2603
남자,30대,1인가구,저소득(월 300만원 미만),2327874,2228972,4106
남자,30대,1인가구,저소득(월 300만원 미만),2419277,1611490,4364
남자,30대,1인가구,저소득(월 300만원 미만),1821343,1512800,9887
남자,30대,1인가구,저소득(월 300만원 미만),1967784,1584911,3142
남자,30대,1인가구,저소득(월 300만원 미만),2125182,1802542,3855
남자,30대,1인가구,저소득(월 300만원 미만),2180568,1774643,3684
남자,30대,1인가구,저소득(월 300만원 미만),2195524,1802421,4906
남자,30대,1인가구,저소득(월 300만원 미만),2759003,2188773,4079
남자,30대,1인가구,중간소득(월 300~700만원 미만),1379015,988295,6233
남자,30대,1인가구,중간소득(월 300~700만원 미만),1832292,1340541,5485
남자,30대,1인가구,중간소득(월 300~700만원 미만),1910923,1163980,2613
남자,30대,1인가구,중간소득(월 300~700만원 미만),2025297,1542552,5990
